AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
11965776,10104,12/5/2018,3/4/2021,Assisted Living Facility,LEPE'S HOME,524 HIGHLAND ST N,,ST PETERSBURG,FL,33701-2120,Pinellas,(727) 827-4778,951 MONTROSE BLVD N,,ST PETERSBURG,FL,33703-3637,Pinellas,LICENSED,M A G TEAM INC,12/5/2002,MICHELLE MARIE BERTHELOT,12,For-Profit,
11968639,12544,7/28/2018,10/25/2020,Assisted Living Facility,LESALDO HOUSE ALF,2073 SE RAINIER RD,,PORT SAINT LUCIE,FL,34952,St. Lucie,(772) 777-2629,1102 SW IVANHOE ST,,PORT SAINT LUCIE,FL,34983,St. Lucie,LICENSED,THE CORNERSTONES OF PORT SAINT LUCIE INC,3/20/2014,DAWNMARIE LESALDO,5,For-Profit,WWW.PSLCORNERSTONES.COM
11965036,9704,11/9/2019,2/6/2022,Assisted Living Facility,LESENDE HOME CARE INC,2308 SW 10TH ST,,MIAMI,FL,33135,Miami-Dade,(305) 631-1658,2308 SW 10TH STREET,,MIAMI,FL,33135,Miami-Dade,LICENSED,LESENDE HOME CARE  INC.,12/2/1998,ENRIQUE LESENDE,6,For-Profit,
11967178,11220,1/30/2020,4/29/2022,Assisted Living Facility,LESLY'S LEISURE LIVING 2,6461 NW 90TH AVENUE,,TAMARAC,FL,33321,Broward,(954) 722-2973,6461 NW 90TH AVENUE,,TAMARAC,FL,33321,Broward,LICENSED,LESLY'S LEISURE LIVING  INC.,12/10/2007,ANNE MARIE THELOT,6,For-Profit,
11968026,12018,7/5/2019,10/2/2021,Assisted Living Facility,LESLY'S LEISURE LIVING III,8080 NW 51ST ST,,LAUDERHILL,FL,33351-5043,Broward,(954) 661-1285,8080 NW 51ST ST,,LAUDERHILL,FL,33351-5043,Broward,LICENSED,LESLY'S LEISURE LIVING  INC.,1/31/2011,ANNE MARIE THELOT,6,For-Profit,
11966340,10548,7/22/2019,10/19/2021,Assisted Living Facility,LEXINGTON MANOR ASSISTED LIVING,20480 VETERANS BLVD,,PORT CHARLOTTE,FL,33954,Charlotte,(941) 766-7991,400 CENTRE STREET,ATTN: LICENSING,NEWTON,MA,2458,,LICENSED,SNH SE TENANT TRS  INC.,7/22/2011,CONSTANCE MURRAY,110,For-Profit,www.LexingtonManorPortCharlotte.com
11969177,12985,3/24/2019,6/21/2021,Assisted Living Facility,LEXINGTON PLACE ASSISTED LIVING FACILITY,301 S MYRTLE AVE,,NEW SMYRNA BEACH,FL,32168,Volusia,(386) 410-2523,301 S MYRTLE AVE,,NEW SMYRNA BEACH,FL,32168,Volusia,LICENSED,Lexington Place Assisted Living Facility,2/17/2017,TIFFANY DORESTE,115,For-Profit,www.lewxingtonplacensb.com
11953411,8602,6/10/2018,6/9/2020,Assisted Living Facility,LEYI'S ADULT CARE II,1017 NW 29TH AVE,,MIAMI,FL,33125-2924,Miami-Dade,(305) 642-9288,1017 NW 29TH AVE,,MIAMI,FL,33125-2924,Miami-Dade,LICENSED,LEYI ADULT CARE INC,1/14/2003,DULCE DE ARMAS,10,For-Profit,
11969329,13163,5/2/2018,7/30/2020,Assisted Living Facility,LIANA OF VENICE,2321 E  VENICE AVE,,VENICE,FL,34292,Sarasota,(941) 800-4808,545 JOHN CARPENTER FWY  STE 500,,IRVING,TX,75062,,LICENSED,VENICE MEMORY CARE LLC,12/20/2017,JERRI BEERS,54,For-Profit,
11969526,13317,7/25/2019,10/22/2021,Assisted Living Facility,LIBRADOS HOME CARE,3910 SPOONBILL AVE,,ORLANDO,FL,32822,Orange,(407) 968-7158,3910 SPOONBILL AVE,,ORLANDO,FL,32822,Orange,LICENSED,,7/25/2019,SUGEY G LIBRADO,6,For-Profit,
11966646,10822,4/28/2018,4/27/2020,Assisted Living Facility,LIDY'S HEALTH CARE #2,15678 SW 20TH ST,,MIAMI,FL,33185-5826,Miami-Dade,(305) 223-9611,15678 SW 20TH ST,,MIAMI,FL,33185-5826,Miami-Dade,IN REVIEW,LIDY'S HEALTH CARE CORP,2/26/2004,ORLANDO LLANOS,6,For-Profit,
11966215,10454,4/8/2018,4/7/2020,Assisted Living Facility,LIDY'S HEALTH CARE CORP,15561 SW 8TH LN,,MIAMI,FL,33194-2400,Miami-Dade,(305) 228-8965,15561 SW 8TH LN,,MIAMI,FL,33194-2400,Miami-Dade,IN REVIEW,LIDY'S HEALTH CARE CORP,2/26/2004,JAVIER LLANOS,6,For-Profit,
11967687,11701,1/26/2019,4/25/2021,Assisted Living Facility,LIFE IS PRECIOUS ASSISTED LIVING LLC,2527 JACKSON STREET,,HOLLYWOOD,FL,33020,Broward,(954) 628-5187,2527 JACKSON STREET,,HOLLYWOOD,FL,33020,Broward,LICENSED,LIFE IS PRECIOUS ASSISTED LIVING LLC,11/18/2016,FREDELINE JAMERO,6,For-Profit,
11967712,11763,3/25/2018,3/24/2020,Assisted Living Facility,LIFE'S SPECIAL MOMENTS  INC,8904 NW 145TH ST,,MIAMI LAKES,FL,33018-7336,Miami-Dade,(305) 512-0558,8904 NW 145TH ST,,MIAMI LAKES,FL,33018-7336,Miami-Dade,IN REVIEW,LIFE'S SPECIAL MOMENTS  INC.,10/1/2009,SARAH FRA,6,For-Profit,
11968344,12254,9/19/2018,12/17/2020,Assisted Living Facility,LIFESTYLE LIVING #1,3513 POLK STREET,,HOLLYWOOD,FL,33021,Broward,(754) 263-3403,3513 POLK STREET,,HOLLYWOOD,FL,33021,Broward,LICENSED,LIFESTYLE LIVING  LLC,6/25/2012,LINDA CAVALLO,6,For-Profit,
11966757,10901,10/9/2018,1/6/2021,Assisted Living Facility,LIFESTYLE LIVING #2,833 NORTH RAINBOW DRIVE,,HOLLYWOOD,FL,33021,Broward,(954) 894-7958,833 NORTH RAINBOW DRIVE,,HOLLYWOOD,FL,33021,Broward,LICENSED,LIFESTYLE LIVING  LLC,10/9/2006,LINDA CAVALLO,6,For-Profit,
11965411,9832,4/17/2018,4/16/2020,Assisted Living Facility,LIFETIDES HOME  INC,3133 LAS OLAS DR,,DUNEDIN,FL,34698-2914,Pinellas,(727) 804-4500,3438 E LAKE RD STE 14 PMB 650,,PALM HARBOR,FL,34685-2413,Pinellas,IN REVIEW,LIFETIDES HOME  INC.,4/17/2000,SUE GIMENO,5,For-Profit,
11967249,11350,6/17/2018,6/16/2020,Assisted Living Facility,LIFETIME ALF CO,822 SW 89TH AVE,,MIAMI,FL,33174-3221,Miami-Dade,(305) 225-6547,822 SW 89TH AVE,,MIAMI,FL,33174-3221,Miami-Dade,LICENSED,LIFE TIME ALF CO,2/28/2008,HENRY DIAZ,6,For-Profit,
11966952,11050,6/29/2019,6/28/2019,Assisted Living Facility,LILAC HOUSE,1770 S LILAC CIRCLE,,TITUSVILLE,FL,32796,Brevard,(321) 449-9639,P.O. BOX 541421,,MERRITT ISLAND,FL,32954,Brevard,IN REVIEW,LILAC HOUSE LLC,5/7/2007,MARY   (MIO) GEORGES,9,For-Profit,
11964722,9272,6/25/2018,9/22/2020,Assisted Living Facility,LILI'S HOME CARE CORP,6321 SW 20TH TER,,MIAMI,FL,33155-1980,Miami-Dade,(305) 262-9287,6321 SW 20TH TER,,MIAMI,FL,33155-1980,Miami-Dade,LICENSED,LILI HOME CARE CORP,9/21/2011,MARIA SUAREZ,6,For-Profit,
11967948,11904,10/27/2018,1/24/2021,Assisted Living Facility,LILIAN ALF INC,1317 W RAMBLA ST,,TAMPA,FL,33612-7737,Hillsborough,(813) 270-6231,1317 W RAMBLA ST,,TAMPA,FL,33612-7737,Hillsborough,LICENSED,LILIAN ALF  INC.,9/9/2010,LILIAN PENA,8,For-Profit,
11967459,11518,1/14/2019,4/13/2021,Assisted Living Facility,LILITA HOME II  INC.,2451 SW 103RD WAY,,MIRAMAR,FL,33025-3984,Broward,(954) 431-4432,2451 SW 103RD WAY,,MIRAMAR,FL,33025-3984,Broward,LICENSED,LILITA HOME II  INC.,9/26/2008,CARIDAD D BARRIAL,5,For-Profit,
11968948,12775,12/30/2019,3/29/2022,Assisted Living Facility,LILY'S PROMISE LLC,830 ROSEMARY CIR,,BRADENTON,FL,34212,Manatee,(941) 926-5459,4323 LONGCHAMP DR,,SARASOTA,FL,34235,Sarasota,LICENSED,LILY'S PROMISE LLC,11/13/2015,KAREN KRANER,6,For-Profit,www.lilyspromisehomes.com
11968693,12553,9/2/2018,11/30/2020,Assisted Living Facility,LILY'S PROMISE  LLC,1958 ROLLING GREEN CIRCLE,,SARASOTA,FL,34240,Sarasota,(941) 926-5459,1958 ROLLING GREEN CIRCLE,,SARASOTA,FL,34240,Sarasota,LICENSED,LILY'S PROMISE  LLC,7/14/2014,KAREN KRANER,6,For-Profit,www.lilyspromisehomes.com
11969431,13223,10/1/2018,12/29/2020,Assisted Living Facility,LIME PLACE,7205 PROCTOR RD,,SARASOTA,FL,34241,Sarasota,(941) 217-8049,1876 BARBER RD BUILDING A,,SARASOTA,FL,34240,Sarasota,LICENSED,NEUROINTERNATIONAL HEALTHCARE LLC,7/24/2018,BENSON PULFER,6,For-Profit,www.Neurointernational.com
11910698,5672,3/11/2020,3/10/2022,Assisted Living Facility,LINCOLN MANOR,2144 LINCOLN STREET,,HOLLYWOOD,FL,33022,Broward,(954) 922-1995,P.O. BOX 221650,,HOLLYWOOD,FL,33022,Broward,LICENSED,SHERBY DEVELOPMENT  INC.,3/11/2006,ACELA ORTEGA,56,For-Profit,
11967159,11216,1/29/2018,1/28/2020,Assisted Living Facility,LINDEN LEA ASSISTED LIVING INC.,1180 JACKSON RANCH RD,,DELAND,FL,32724,Volusia,(386) 740-9117,1180 JACKSON RANCH RD,,DELAND,FL,32724,Volusia,IN REVIEW,LINDENLEA ASSISTED LIVING INC.,11/26/2007,VIVIENNE POWIS,9,For-Profit,lindenleaassistedliving.com
11967994,11966,3/8/2019,3/7/2021,Assisted Living Facility,LINDO'S HOUSE OF CARE  INC.,6821 SW 8TH CT,,N LAUDERDALE,FL,33068-2516,Broward,(954) 970-9915,6821 SW 8TH CT,,N LAUDERDALE,FL,33068-2516,Broward,LICENSED,LINDO'S HOUSE OF CARE  INC.,11/29/2010,ENA LINDO-POWELL,6,For-Profit,
11964383,8982,7/1/2019,9/28/2021,Assisted Living Facility,NEW LIFE ASSISTED LIVING FACILITY,2133 SE SHELTER DR,,PORT ST LUCIE,FL,34952-4849,St. Lucie,(772) 337-0058,2133 SE SHELTER DR,,PORT ST LUCIE,FL,34952-4849,St. Lucie,LICENSED,NEW LIFE ASSISTED LIVING INC,4/1/2005,ETHEL NEWTON,6,For-Profit,
11968043,11996,3/1/2020,5/29/2022,Assisted Living Facility,NEW LIFE HOME CARE INC,202 BEVERLY BLVD,,BRANDON,FL,33511-5504,Hillsborough,(813) 404-3793,202 BEVERLY BLVD,,BRANDON,FL,33511-5504,Hillsborough,LICENSED,NEW LIFE HOME CARE INC.,3/1/2016,ROSALINE SEABROOK,22,For-Profit,
11969342,13159,4/26/2018,4/25/2020,Assisted Living Facility,NEW MERCYS CARE LLC,1458 RUSTLING PINES BLVD,,MIDWAY,FL,32343,Gadsden,(850) 570-9994,1458 RUSTLING PINES BLVD,,MIDWAY,FL,32343,Gadsden,IN REVIEW,NEW MERCYS CARE LLC,1/26/2018,SHANIKA I BROWN,5,For-Profit,
11953540,7640,11/8/2018,2/5/2021,Assisted Living Facility,NEW MILLENNIUM ADULT CARE III,3134 SW 26TH ST,# 36,MIAMI,FL,33133-2134,Miami-Dade,(305) 967-8565,3134 SW 26TH ST,# 36,MIAMI,FL,33133-2134,Miami-Dade,LICENSED,NEW MILLENNIUM ADULT CARE  INC,3/7/2000,JANETTE LOPEZ,14,For-Profit,
11965416,9810,1/7/2020,4/6/2022,Assisted Living Facility,NEW PARADISE INC,2001 SW 80TH CT,,MIAMI,FL,33155-1255,Miami-Dade,(786) 388-8747,2001 SW 80TH CT,,MIAMI,FL,33155-1255,Miami-Dade,LICENSED,NEW PARADISE  INC ALF,1/7/2004,DAMARYS CRUZ,6,For-Profit,
11910790,5421,2/20/2020,5/20/2022,Assisted Living Facility,NEW PORT RICHEY CENTER FOR ASSISTED LIVING AND MEMORY CARE,5539 CHARLES ST,,NEW PRT RCHY,FL,34652-3705,Pasco,(727) 848-4459,5539 CHARLES ST,,NEW PORT RICHEY,FL,34652,Pasco,LICENSED,5539 NPR OPERATING LLC,2/20/2018,STEPHANIE DIANNE HOLT,100,For-Profit,www.Pslgroupllc.com
11953541,8811,11/7/2018,2/5/2021,Assisted Living Facility,NEW WORLD ACLF,8184 WEST 18 AVENUE,,HIALEAH,FL,33014,Miami-Dade,(305) 364-2821,8184 WEST 18 AVENUE,,HIALEAH,FL,33014,Miami-Dade,LICENSED,NEW WORLD ELDERLY CARE  INC.,11/16/1996,DIONYS MATOS,6,For-Profit,
11965694,10047,7/19/2019,10/16/2021,Assisted Living Facility,NEWPORT HOME CARE  INC.,2811 CLEVELAND ST,,HOLLYWOOD,FL,33020-2928,Broward,(954) 394-5561,2811 CLEVELAND ST,,HOLLYWOOD,FL,33020-2928,Broward,LICENSED,NEWPORT HOME CARE  INC.,3/22/2001,PAMELA M WARD,6,For-Profit,
11965792,10128,10/16/2018,1/13/2021,Assisted Living Facility,NICOLE'S FAMILY HOME ALF LLC,3700 SW 147TH PL,,MIAMI,FL,33185-3902,Miami-Dade,(305) 487-6736,3700 SW 147TH PL,,MIAMI,FL,33185-3902,Miami-Dade,LICENSED,NICOLE'S FAMILY HOME ALF LLC,10/16/2012,MILEYDIS ESPINO,6,For-Profit,
11910997,4687,5/12/2018,5/11/2020,Assisted Living Facility,NIGHTINGALE MANOR INC,1753 MICHIGAN AVENUE,,MIAMI BEACH,FL,33139,Miami-Dade,(305) 538-1530,1753 MICHIGAN AVENUE,,MIAMI BEACH,FL,33139,Miami-Dade,LICENSED,NIGHTINGALE MANOR,1/1/1980,JOHN WHEATLEY RUSSELL,30,For-Profit,
11966621,10795,3/1/2020,5/29/2022,Assisted Living Facility,NINA'S HAVEN ALF,10620 SUNSET STRIP,,SUNRISE,FL,33322,Broward,(954) 746-6732,10411 NW 21ST COURT,,SUNRISE,FL,33322,Broward,LICENSED,NINA'S HAVEN  INC.,12/21/2005,SUSAN CLARE EDWARDS,6,For-Profit,
11967668,11676,10/26/2019,1/23/2022,Assisted Living Facility,NINI'S TLC CORP,5118 EL DORADO DR,,TAMPA,FL,33615-4712,Hillsborough,(813) 885-2170,5118 EL DORADO DR,,TAMPA,FL,33615-4712,Hillsborough,LICENSED,NINI'S TLC CORP,7/23/2009,LURIAN OSORIO,6,For-Profit,
11967773,11745,3/3/2020,3/2/2020,Assisted Living Facility,NO BETTER PLACE INC,429 FREEMAN ROAD NW,,PALM BAY,FL,32907,Brevard,(321) 327-3335,429 FREEMAN ROAD NW,,PALM BAY,FL,32907,Brevard,IN REVIEW,NO BETTER PLACE  INC.,12/23/2009,MARGARETTE ABELARD,6,For-Profit,
11967622,11633,8/4/2019,11/1/2021,Assisted Living Facility,NOBLE COVE,110 W PALM AVE,,LAKE WORTH,FL,33467-4828,Palm Beach,(561) 248-3447,110 W PALM AVE,,LAKE WORTH,FL,33467-4828,Palm Beach,LICENSED,AVERY COTTAGE INC,5/18/2009,NETTECHA RHEINGOLD,6,For-Profit,
11968314,12207,8/11/2018,11/8/2020,Assisted Living Facility,NOBLE GARDENS OF JACKSONVILLE  LLC,7024 WILEY RD,,JACKSONVILLE,FL,32210,Duval,(904) 695-9605,PO BOX 37523,,JACKSONVILLE,FL,32236-7523,Duval,LICENSED,NOBLE GARDENS OF JACKSONVILLE  LLC,7/6/2016,COURTNY JAMES COERVER,31,For-Profit,noblehomesjacksonville.com
11965038,9587,8/11/2018,11/8/2020,Assisted Living Facility,NOBLE HOUSE RETIREMENT OF JACKSONVILLE  LLC,6561 SAN JUAN AVE,,JACKSONVILLE,FL,32210,Duval,(904) 695-9605,PO BOX 37523,,JACKSONVILLE,FL,32236-7523,Duval,LICENSED,Noble House Retirement of Jacksonville  LLC,8/11/2014,COURTNY JAMES COERVER,104,For-Profit,www.noblehomesjacksonville.com
11964540,9212,10/30/2019,1/27/2022,Assisted Living Facility,NOELITO ALF CORP,12720 SW 43RD DR,,MIAMI,FL,33175-4133,Miami-Dade,(305) 226-2308,12720 SW 43 DR,,MIAMI,FL,33157,Miami-Dade,LICENSED,NOELITO ALF  CORP,8/22/2017,ROGELIO N GELELBARCELO,6,For-Profit,
11910982,7548,6/10/2019,9/7/2021,Assisted Living Facility,NOELITO AMERICAN LIVING COMPANY,11060 SW 58TH TER,,MIAMI,FL,33173-1106,Miami-Dade,(305) 598-9154,11060 SW 58TH TER,,MIAMI,FL,33173-1106,Miami-Dade,LICENSED,NOELITO AMERICAN LIVING COMPANY,6/10/2019,ROGELIO N GELELBARCELO,6,For-Profit,
11967583,11653,3/16/2019,12/14/2020,Assisted Living Facility,NOELITO ASSISTED LIVING COMPANY,4701 SW 117TH AVE,,MIAMI,FL,33175-1713,Miami-Dade,(305) 456-7868,4701 SW 117TH AVENUE,,MIAMI,FL,33175-1713,Miami-Dade,LICENSED,NOELITO ASSISTED LIVING COMPANY,9/18/2018,ROGELIO N GELELBARCELO,6,For-Profit,
11967275,11305,4/22/2018,4/21/2020,Assisted Living Facility,NOMEL'S ALF INC,3818 JUPITER BLVD SE,,PALM BAY,FL,32909,Brevard,(321) 984-4265,3818 JUPITER BLVD SE,,PALM BAY,FL,32909,Brevard,IN REVIEW,NOMEL'S ALF  INC.,3/21/2008,IONA MINTO,6,For-Profit,
11966075,10339,3/15/2020,3/14/2022,Assisted Living Facility,NONNA GLORIA  ALF INC,12748 NW 98TH CT,,HIALEAH,FL,33018-7422,Miami-Dade,(305) 820-3329,12748 NW 98TH CT,,HIALEAH,FL,33018-7422,Miami-Dade,LICENSED,NONNA GLORIA ALF  INC.,3/15/2016,MILEISY PEDROZO,6,For-Profit,
11953486,8591,1/16/2018,1/15/2020,Assisted Living Facility,NORITA ADULT FAMILY CARE  INC.,11971 SW 118 STREET,,MIAMI,FL,33186,Miami-Dade,(305) 274-9563,11971 SW 118 STREET,,MIAMI,FL,33186,Miami-Dade,IN REVIEW,NORITA ADULT FAMILY CARE,10/20/1999,REYMUNDO OTERO,6,For-Profit,www.assistedlivingnorita.com
11968255,12159,3/26/2018,3/25/2020,Assisted Living Facility,NORMANDY ESTATES ASSISTED LIVING LLC,7100 RUE GRANVILLE,,MIAMI BEACH,FL,33141-3507,Miami-Dade,(305) 397-8548,7100 RUE GRANVILLE,,MIAMI BEACH,FL,33141-3507,Miami-Dade,IN REVIEW,BETTER LIVING INVESTMENT LLC,1/30/2012,LISA RICCO,12,For-Profit,
11910833,5194,11/3/2018,1/31/2021,Assisted Living Facility,NORMANDY MANOR,1103 NORMANDY RD,,CLEARWATER,FL,33764-4825,Pinellas,(727) 797-9461,1654 MIDNIGHT PASS WAY,,CLEARWATER,FL,33765,Pinellas,LICENSED,ADELBERT B BELDIA,4/30/1997,ADELBERT B BELDIA,13,For-Profit,
11911101,4855,1/19/2020,4/18/2022,Assisted Living Facility,NORTH FLORIDA RETIREMENT VILLAGE,8000 NW 27TH BOULEVARD,,GAINESVILLE,FL,32606,Alachua,(352) 373-4032,8000 NW 27TH BOULEVARD,,GAINESVILLE,FL,32606,Alachua,LICENSED,NORTH FLORIDA RETIREMENT VILLAGE  INC.,5/7/1991,REBECCA CATALANOTTO,140,Not-For-Profit,thevillageonline.com
11910716,7395,9/13/2018,12/11/2020,Assisted Living Facility,NORTH LAKE RETIREMENT HOME INC,1222 NORTH 16TH AVENUE,,HOLLYWOOD,FL,33020,Broward,(954) 922-2643,1222 NORTH 16TH AVENUE,,HOLLYWOOD,FL,33020,Broward,LICENSED,NORTH LAKE RETIREMENT HOME  INC.,5/8/1991,GUY P BERGERON,114,For-Profit,
11912071,7860,6/5/2018,9/2/2020,Assisted Living Facility,NORTH PORT RETIREMENT CENTER,4950 POCATELLA AVE,,NORTH PORT,FL,34287-2356,Sarasota,(941) 426-9175,4950 POCATELLA AVE,,NORTH PORT,FL,34287-2356,Sarasota,LICENSED,NORTH PORT RETIREMENT CENTER  INC.,6/10/1992,PAULINE CASSANDRA GORE,50,For-Profit,www.southwestfloridaretirementcenters.com
11968793,12634,3/6/2019,6/3/2021,Assisted Living Facility,NORTHDALE ALF  INC,4815 CENTERBROOK CT,,TAMPA,FL,33624-1046,Hillsborough,(813) 961-5425,4815 CENTERBROOK CT,,TAMPA,FL,33624-1046,Hillsborough,LICENSED,NORTHDALE ALF  INC.,1/5/2015,MASSIEL RODRIGUEZ,6,For-Profit,www.northdalealf.com
11911678,7760,11/15/2019,2/12/2022,Assisted Living Facility,NORTHPOINTE RETIREMENT COMMUNITY,5100 NORTHPOINTE PARKWAY,,PENSACOLA,FL,32514,Escambia,(850) 478-1114,5100 NORTHPOINTE PARKWAY,,PENSACOLA,FL,32514,Escambia,LICENSED,NORTHPOINTE RETIREMENT COMMUNITY INC.,6/27/1991,MOHAMAD MIKHCHI,100,For-Profit,assistedlivingforyou.com
11967896,11872,8/31/2018,11/28/2020,Assisted Living Facility,NORTHWOOD MANOR LLC,27737 BREAKERS DR,,WESLEY CHAPEL,FL,33544-6685,Pasco,(813) 929-1656,27737 BREAKERS DR,,WESLEY CHAPEL,FL,33544-6685,Pasco,LICENSED,NORTHWOOD MANOR LLC,6/18/2010,SHEREVE SMITH,6,For-Profit,www.northwoodmanorsouth.com
11966928,11011,7/30/2019,10/27/2021,Assisted Living Facility,NORWOOD ASSISTED LIVING  INC,325 NORWOOD ST,,MERRITT ISLAND,FL,32953,Brevard,(321) 459-0530,1014 WOODLAWN RD,,ROCKLEDGE,FL,32955,Brevard,LICENSED,NORWOOD ASSISTED LIVING  INC,7/18/2019,ALAN SPEARS,6,For-Profit,
11968798,12638,8/9/2019,11/6/2021,Assisted Living Facility,NSB ALF,5 FAIRGREEN AVE,,NEW SMYRNA BEACH,FL,32168,Volusia,(386) 410-3201,5 FAIRGREEN AVE,,NEW SMYRNA BEACH,FL,32168,Volusia,LICENSED,PRIME LOVE & CARE LLC,8/9/2017,SABRINA AMAZAN,6,For-Profit,www.nsbalf.com
11943123,7307,3/18/2019,12/17/2020,Assisted Living Facility,NSPIRE HEALTHCARE KENDALL,9400 SW 137TH AVE,,MIAMI,FL,33186-1434,Miami-Dade,(305) 385-8290,9400 SW 137TH AVE,,MIAMI,FL,33186-1434,Miami-Dade,LICENSED,9400 SW 137TH AVENUE OPERATIONS  LLC,10/16/2018,LAZARO A LAZO,54,For-Profit,
11942847,8300,9/27/2018,12/25/2020,Assisted Living Facility,NTM HOMES,98 MISSIONS BLVD,,SANFORD,FL,32771-7637,Seminole,(407) 330-1505,98 MISSIONS BLVD,,SANFORD,FL,32771-7637,Seminole,LICENSED,ETHOS360  INC,5/2/1994,JAMES E SHEFFIELD,10,Not-For-Profit,www.ntmhomes.org
11967419,11471,10/28/2018,1/25/2021,Assisted Living Facility,NUESTRA CASA,1906 NORTH A STREET,,LAKE WORTH,FL,33460,Palm Beach,(561) 493-1785,1906 NORTH A STREET,,LAKE WORTH,FL,33460,Palm Beach,LICENSED,NUESTRA CASA INC,8/13/2008,TANIA LOPEZ,6,For-Profit,
11968105,12032,7/25/2019,10/22/2021,Assisted Living Facility,NUESTRA CASA II INC,2832 GIULIANO AVE,,LAKE WORTH,FL,33461-3725,Palm Beach,(561) 899-3815,2832 GIULIANO AVE,,LAKE WORTH,FL,33461-3725,Palm Beach,LICENSED,NUESTRA CASA II  INC.,5/24/2011,CONRADO BARRIO,6,For-Profit,
11966838,10979,3/19/2020,9/16/2020,Assisted Living Facility,NUEVA ERA HOME HEALTH SERVICES,9711 SW 135 AVENUE,,MIAMI,FL,33186,Miami-Dade,(305) 388-8589,9711 SW 135 AVE,,MIAMI,FL,33186,Miami-Dade,PROVISIONAL,NUEVA ERA HOME HEALTH SERVICES LLC,6/19/2019,MAYRIN LOPEZ,6,For-Profit,
11968561,12442,12/6/2019,3/5/2022,Assisted Living Facility,NUEVA VIDA ALF II INC,2827 MAX SMITH RD,,LUTZ,FL,33559-5879,Hillsborough,(813) 803-3398,2827 MAX SMITH RD,,LUTZ,FL,33559-5879,Hillsborough,LICENSED,NUEVA VIDA ALF II INC,9/3/2013,IDALMIS MONTANO,6,For-Profit,
11967819,11800,5/10/2018,5/9/2020,Assisted Living Facility,NUEVA VIDA ALF INC,1901 W OKALOOSA AVE,,TAMPA,FL,33604-1025,Hillsborough,(813) 935-5097,1901 W OKALOOSA AVE,,TAMPA,FL,33604-1025,Hillsborough,LICENSED,NUEVA VIDA ALF  INC.,2/22/2010,IDALMIS MONTANO,6,For-Profit,
11969615,13442,4/3/2020,4/2/2022,Assisted Living Facility,NUEVA VIDA GARDENS ALF CORP,18078 NW 41ST CT,,MIAMI GARDENS,FL,33055,Miami-Dade,(786) 757-0065,18078 NW 41ST CT,,MIAMI GARDENS,FL,33055,Miami-Dade,LICENSED,NUEVA VIDA GARDENS ALF CORP,4/3/2020,MIRIELA GARCIA,6,For-Profit,
11969098,13034,7/23/2019,10/25/2021,Assisted Living Facility,NUEVO AMANECER TAMPA LLC,7405 ARIPEKA DR,,TAMPA,FL,33619,Hillsborough,(813) 785-1732,7405 ARIPEKA DR,,TAMPA,FL,33619,Hillsborough,LICENSED,NUEVO AMANECER TAMPA LLC,7/28/2017,AILEEN PEREZ CAMACHO,6,For-Profit,
11966671,10831,7/24/2018,10/21/2020,Assisted Living Facility,NUEVO RENACER ALF  CORP,540 N PERVIZ AVE,,OPA LOCKA,FL,33054-3028,Miami-Dade,(305) 681-3888,540 N PERVIZ AVE,,OPA LOCKA,FL,33054-3028,Miami-Dade,LICENSED,NUEVO RENACER ALF CORP,7/29/2009,MARIELLA COLLADO,6,For-Profit,
11942986,8372,1/25/2019,4/24/2021,Assisted Living Facility,NURSE'S HELPING HANDS INC,7191 71ST ST N,,PINELLAS PARK,FL,33781-3825,Pinellas,(727) 541-3967,7191 71ST ST N,,PINELLAS PARK,FL,33781-3825,Pinellas,LICENSED,NURSES HELPING HANDS INC,10/9/2002,PAMELA PENUELA,50,For-Profit,
11968340,12241,8/24/2018,11/21/2020,Assisted Living Facility,NURSING CARE BY ANGELS  LLC,8085 BABCOCK ST,,PALM BAY,FL,32909,Brevard,(321) 345-4774,8085 BABCOCK ST,,PALM BAY,FL,32909,Brevard,LICENSED,NURSING CARE BY ANGELS ALF,8/24/2012,URIAH PRINCE,8,For-Profit,nursingcarebyangels.com
11953422,6054,3/27/2018,3/28/2020,Assisted Living Facility,NURSING LOVE & CARE FACILITY,1045 WEST 23 STREET,,HIALEAH,FL,33012,Miami-Dade,(305) 883-1915,1045 WEST 23 STREET,,HIALEAH,FL,33012,Miami-Dade,IN LITIGATION,NURSING LOVE & CARE FACILITIES ENTERPRISES INC.,10/9/1997,RAFAEL J REINERS,19,For-Profit,
11966269,10493,7/2/2018,9/29/2020,Assisted Living Facility,OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA,2680 SW 53 RD LANE,,GAINESVILLE,FL,32608,Alachua,(352) 548-1135,2680 SW 53 RD LANE,,GAINESVILLE,FL,32608,Alachua,LICENSED,OAK HAMMOCK AT THE UNIV. OF FL. INC,5/12/2004,MARIE OKRONLEY,80,Not-For-Profit,oakhammock.org
